"","TB_USCH","TB_USJP","M3_USCH","M3_USJP","M3_USUK","UN_USCH","UN_USJP","UN_USUK","M1_USCH","M1_USJP","M1_USUK","CPI_USCH","CPI_USJP","CPI_USUK","T_USCH","T_USJP","T_USUK","EX_UKUS","EX_JPUS","EX_CHUS"
"1996-12-01",0.274936042136945,4.90671875137084,2.68150688965736,-0.560776673315164,1.47169191749281,0.21766148357115,1.84492712357115,-1.05507287642885,-18.5662131553614,-21.2840175220659,-19.8272572452993,-24.0512833702392,-31.084968588751,-2.484968588751,91.0656928239502,94.3234209381013,79.7805850720946,-0.509164244439324,4.7360317678374,0.284426779731108
"1997-01-01",0.76779918062244,5.02682815378196,2.70776069818713,-0.506349503564824,1.45485105615319,0.06651600555419,1.86436376555419,-0.63563623444581,-18.5593594138973,-21.2455147502914,-19.8511420752582,-24.1441516989467,-30.7740132564331,-2.0740132564331,92.2118826596549,95.0259528131802,81.004271890108,-0.50591357940497,4.76994197588911,0.330238561865694
"1997-02-01",1.04878687848153,5.00695841238886,2.74576842581648,-0.460448102880523,1.46235035804429,-0.0391862864263706,1.80068575357363,-0.49931424642637,-18.5439393781191,-21.1955414555485,-19.8608606557061,-24.0932081737113,-30.3630579241152,-1.96305792411519,93.0418427235109,95.7709518166961,81.8317918202437,-0.485876978402026,4.81187617780929,0.374387152537303
"1997-03-01",1.0126253929206,5.13695374746078,2.7706149496175,-0.461030796597186,1.46807003967965,-0.10106610586628,1.85018175413372,-0.44981824586628,-18.5160815529179,-21.2336751803295,-19.8905069237543,-23.7929559446457,-30.2942936582608,-1.89429365826081,93.7095260613508,96.4501580161829,82.4097331816593,-0.475985700923283,4.81034363790076,0.380762495467793
"1997-04-01",0.966539882336845,5.15702318651169,2.76879550787455,-0.434359712149927,1.46985751378983,-0.258199553785539,1.71483355621446,-0.38516644378554,-18.5265243020396,-21.2196690773871,-19.895137534505,-23.7964312262904,-32.2099115253336,-2.1099115253336,94.614966477232,97.27751561874,83.2270158283058,-0.488150474726772,4.833402368231,0.379668553064154
"1997-05-01",0.716736445467867,5.04686221604733,2.74144949250582,-0.492849422615674,1.44563458038147,-0.39263722833458,1.38050633166542,-0.419493668334581,-18.5850906715831,-21.2918212094501,-19.9485849620136,-23.5542783299821,-32.4521025917972,-2.4521025917972,95.5301738853158,98.0802394719311,84.0573370636853,-0.489928798053005,4.78073899420933,0.359839930081889
"1997-06-01",0.479084858569051,4.92672749959094,2.76841531703745,-0.532867143329266,1.42029978326482,-0.31786423747931,1.52808227252069,-0.17191772747931,-18.5652223922443,-21.3142492053945,-20.0382295595118,-23.5614309016033,-32.36772045887,-2.46772045886999,96.5041641568725,99.0140071022103,84.8473887733891,-0.497679592095975,4.73870145361261,0.36630839290697
"1997-07-01",0.510064759848893,5.04675842181946,2.80906573155463,-0.511539425571765,1.40085569578016,-0.38198917271178,1.40299175728822,-0.29700824271178,-18.5414217260585,-21.3137052045725,-20.0675812874955,-23.3778613255282,-31.8833383259429,-2.28333832594291,97.9101241689749,100.170920795926,86.1583525475074,-0.512464280434499,4.74819549344265,0.393662395989013
"1997-08-01",0.565700687466948,5.13682861370565,2.84742196925144,-0.48152744552382,1.45030329572437,-0.3681188185974,1.3766325614026,-0.2233674385974,-18.5147378382794,-21.2786526794954,-20.0061063283215,-23.4519488953917,-31.8567651265521,-2.4567651265521,99.0417336635441,101.123300705456,87.3086253322611,-0.472188740151072,4.77008698828962,0.413962238362111
"1997-09-01",0.256760984900013,4.94690627843494,2.82314362099256,-0.445246028600728,1.51203421836643,-0.23746904580164,1.32577401419836,-0.0742259858016396,-18.5549970362293,-21.2589210353222,-20.0317165488731,-23.2814950638726,-32.3880008606978,-2.4880008606978,100.421279266966,102.318358564236,88.7038562963957,-0.470815799346294,4.7948810412139,0.38539844595785
