"","TB_USCH","TB_USJP","TB_USUK","M3_USCH","M3_USJP","M3_USUK","UN_USCH","UN_USJP","UN_USUK","M1_USCH","M1_USJP","M1_USUK","CPI_USCH","CPI_USJP","CPI_USUK","T_USCH","T_USJP","T_USUK","EX_UKUS","EX_JPUS","EX_CHUS"
"1992-12-01",5.42,3.19467770711112,-6.64436,2.76066093220069,-0.499550121998432,1.70355645178303,3.59748192394023,4.87708341694023,-2.82291658305977,-18.2396829281129,-20.9579710366909,-19.4660485042789,-26.1612744591361,-36.3308766881701,-2.7308766881701,0.508876336585916,0.784031172672796,0.539096091580488,-0.438899884194402,4.82061134992989,0.351994005420192
"1993-01-01",4.85083333333333,2.97487063296243,-5.1529,2.79319864292952,-0.4882615651889,1.71543944369307,4.19172320515239,5.59909749915239,-2.30090250084761,-18.1949622629419,-20.9048425023547,-19.4480512286207,-26.3071124048468,-35.935539222925,-2.235539222925,0.448968492159812,0.481322814875269,0.354017847226784,-0.426900388828229,4.82825933582257,0.3902837861125
"1993-02-01",4.93272727272727,2.91025828195711,-4.800115,2.81650724003399,-0.527814945582175,1.77117567222367,3.87945571225483,5.45125482625483,-2.34874517374517,-18.1882976997854,-20.9224537241545,-19.4157735289248,-26.6512290865382,-35.824583890607,-2.324583890607,0.412143839408712,0.702221194050145,0.306276661815597,-0.364295831070094,4.79380096438621,0.417261917987675
"1993-03-01",4.58798192771084,2.92962696146043,-4.840861,2.80771274507699,-0.566286330610211,1.75019197236215,3.35884366115258,4.82863499815258,-2.57136500184742,-18.2057891900576,-20.9865087431383,-19.4461004421211,-26.9037116774659,-35.8136285582891,-2.4136285582891,0.609292841715367,0.942854364215957,0.526922561602148,-0.37960014191311,4.76232264168906,0.419104993812199
"1993-04-01",4.52207317073171,2.84879218655759,-5.301463,2.76630608672874,-0.606559705766578,1.69852012206612,2.75428327394458,4.53904773394458,-3.16095226605542,-18.2203616429041,-21.0085720989993,-19.4734986448336,-27.0008055382857,-36.3448642924347,-2.6448642924347,0.592553023186829,0.802947767459744,0.449340418093156,-0.434829716738068,4.72216535580412,0.378367940223797
"1993-05-01",4.55503787878788,2.93839464216126,-5.103517,2.7662720629923,-0.619369362039507,1.6938688587796,2.59567882992908,4.34237525792908,-2.95762474207092,-18.235655400395,-21.031244064586,-19.490294639246,-26.9679054650285,-36.3604821595076,-2.7604821595076,0.478182304785537,0.605999960838732,0.314117744332243,-0.436769957936577,4.70359369616418,0.371839380458504
"1993-06-01",4.39323757763975,3.04780504562813,-4.69723,2.7893004395503,-0.65755761244532,1.7159847300711,2.90594077311128,4.83574697511128,-2.36425302488872,-18.2166504034557,-21.0247766976579,-19.4602087781844,-26.8610620473804,-36.1761000265804,-2.6761000265804,0.825960446065094,0.918600720417238,0.716591631987088,-0.41091688678641,4.67667004568572,0.389945296450128
"1993-07-01",4.01336666666667,3.01786267055679,-4.542185,2.81317171015113,-0.659286997906445,1.71677427107144,2.55965351612195,4.62351219512195,-2.77648780487805,-18.1512485454901,-21.0295360652466,-19.4422693240236,-26.8066977874587,-36.4761000265804,-2.4761000265804,0.914650414467534,1.05003094118381,0.740976847582255,-0.402460599087866,4.67926972953486,0.415217399550843
"1993-08-01",4.16003246753247,2.99702500843252,-4.630882,2.80062544218681,-0.687361397933426,1.71924536669894,2.03435640362641,4.10090121262641,-3.29909878737359,-18.1635522423612,-21.0388824159697,-19.4443533740777,-27.0704623318046,-36.507335760726,-2.607335760726,0.817905130956685,0.818359995445091,0.771522218683584,-0.399715276127557,4.64212872697362,0.403195868664121
"1993-09-01",4.09315789473684,2.93457018152059,-4.97896,2.74199933049513,-0.678890136743391,1.69489179592552,1.7745858492285,3.8256209942285,-3.3743790057715,-18.2252765327331,-21.0064891236783,-19.4641093455967,-26.8897236449233,-36.4807625613353,-2.7807625613353,0.885925283054387,1.05950119106175,0.824508456647503,-0.421863253917801,4.65941970643034,0.349388461887759
